mun,nom_mun,promedio_indice,total_localidades,localidades_q45,pct_localidades_q45
2,Azcapotzalco,76.39,1,1,100.0
3,Coyoacán,79.72,1,1,100.0
4,Cuajimalpa de Morelos,63.86,17,13,76.47
5,Gustavo A. Madero,73.75,1,1,100.0
6,Iztacalco,75.88,1,1,100.0
7,Iztapalapa,73.05,1,1,100.0
8,La Magdalena Contreras,46.39,12,4,33.33
9,Milpa Alta,49.61,213,70,32.86
10,Álvaro Obregón,48.21,6,3,50.0
11,Tláhuac,53.46,46,22,47.83
12,Tlalpan,50.56,94,34,36.17
13,Xochimilco,52.59,97,43,44.33
14,Benito Juárez,82.51,1,1,100.0
15,Cuauhtémoc,74.97,1,1,100.0
16,Miguel Hidalgo,78.1,1,1,100.0
17,Venustiano Carranza,74.09,1,1,100.0
